gardiner_code,category,transliteration,gloss,notes
W19,W. Vessels Of Stone And Earthenware,,Milk jug,
W22,W. Vessels Of Stone And Earthenware,,Beer jugs,
W24,W. Vessels Of Stone And Earthenware,,Bowl,
W25,W. Vessels Of Stone And Earthenware,,Combination of W24 + legs,
X1,"X. Bread, Cakes, Etc.",,Small bread loaf,
X6,"X. Bread, Cakes, Etc.",,Round loaf with baker’s mark,
X8,"X. Bread, Cakes, Etc.",,Conical Loaf,
Y1,"Y. Writings, Games, Music",,Papyrus scroll,
Y2,"Y. Writings, Games, Music",,Var. of Y1,
Y3,"Y. Writings, Games, Music",,Scribal kit,
Y5,"Y. Writings, Games, Music",,Game board,
Z1,Z. Strokes,,Stroke,
Z11,Z. Strokes,,Crossed planks,
Z7,Z. Strokes,,From hieratic var. of G43.,
